
2025/02/16 (10:36:54) | ===> btop++ v.1.4.0
2025/02/16 (10:36:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (10:36:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (10:36:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (10:36:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (10:40:04) | ===> btop++ v.1.4.0
2025/02/16 (10:40:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (10:40:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (10:40:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (10:40:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (12:06:46) | ===> btop++ v.1.4.0
2025/02/16 (12:06:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (12:06:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (12:06:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (12:06:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (12:28:29) | ===> btop++ v.1.4.0
2025/02/16 (12:28:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (12:28:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (12:28:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (12:28:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (15:26:25) | ===> btop++ v.1.4.0
2025/02/16 (15:26:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (15:26:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (15:26:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (15:26:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (15:05:58) | ===> btop++ v.1.4.0
2025/02/17 (15:05:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/17 (15:05:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (15:05:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/17 (15:05:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (15:24:02) | ===> btop++ v.1.4.0
2025/02/17 (15:24:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/17 (15:24:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (15:24:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/17 (15:24:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (15:39:08) | ===> btop++ v.1.4.0
2025/02/18 (15:39:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (15:39:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (15:39:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (15:39:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/19 (10:37:22) | ===> btop++ v.1.4.0
2025/02/19 (10:37:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/19 (10:37:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/19 (10:37:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
